event_id,ticker,zone_id,structural_zone_key,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,local_bar_index,global_bar_index,touch_count_before_event,meaningful_touch_count_before_event,is_first_meaningful_test,bars_since_last_touch,days_since_last_touch,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,label,success_flag,failure_flag,unresolved_flag,false_breakout_flag,failed_follow_through_flag,breakout_confirmed_flag,hold_outside_flag,target_hit_flag,retest_success_flag,max_favorable_excursion,max_adverse_excursion,follow_through_pct,reentry_flag,bars_to_reentry,bars_to_target,failure_subtype,bars_to_failure,reentry_depth_pct,post_breakout_best_close_pct,move_over_atr,move_over_zone_width,hold_outside_bars,breakout_quality_score,outcome_window_end
NVDA::20251031::resistance::1::test::2025-10-31T00:00:00,NVDA,NVDA::20251031::resistance::1,NVDA::resistance::206.3450::2.0625::avwap_D::D,2025-10-31,test,up,202.49000549316406,207.37855528503684,-0.023573072852945583,125,0,125,0,0,True,,,cost,resistance,D,0.010000000000000026,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-10-31T00:00:00"", ""zone_valid_to"": ""2025-11-06T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
NVDA::20251107::resistance::1::probe::2025-11-10T00:00:00,NVDA,NVDA::20251107::resistance::1,NVDA::resistance::188.6650::1.8875::avwap_D::D,2025-11-10,probe,up,199.0500030517578,189.60692876623634,0.04980342409935719,131,1,131,0,0,True,,,cost,resistance,D,0.009999999999999945,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-11-07T00:00:00"", ""zone_valid_to"": ""2025-11-13T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
NVDA::20251107::resistance::2::probe::2025-11-10T00:00:00,NVDA,NVDA::20251107::resistance::2,NVDA::resistance::191.9000::1.9200::avwap_D::D,2025-11-10,probe,up,199.0500030517578,192.85803379784068,0.03210635892102756,131,1,131,0,0,True,,,cost,resistance,D,0.009999999999999893,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-11-07T00:00:00"", ""zone_valid_to"": ""2025-11-13T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
NVDA::20251107::resistance::1::breakout_up::2025-11-11T00:00:00,NVDA,NVDA::20251107::resistance::1,NVDA::resistance::188.6650::1.8875::avwap_D::D,2025-11-11,breakout_up,up,193.16000366210938,189.60692876623634,0.018739161690939962,132,2,132,1,1,False,1.0,1.0,cost,resistance,D,0.009999999999999945,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-11-07T00:00:00"", ""zone_valid_to"": ""2025-11-13T23:59:59.999999""}",failure,0,1,0,1,0,1,1,0,1,0.014702817788606845,0.12223027626180846,-0.05063159346592691,1,2.0,,fast_false_breakout,2.0,6.682225956883783,0.003313312163567643,,1.4702817788606926,2.0,-50.31077947718419,2025-12-04
NVDA::20251107::resistance::1::failed_breakout_up::2025-11-13T00:00:00,NVDA,NVDA::20251107::resistance::1,NVDA::resistance::188.6650::1.8875::avwap_D::D,2025-11-13,failed_breakout_up,up,186.86000061035156,189.60692876623634,-0.014487488267221618,134,4,134,2,2,False,,,cost,resistance,D,0.009999999999999945,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""failed_breakout_up"", ""zone_valid_from"": ""2025-11-07T00:00:00"", ""zone_valid_to"": ""2025-11-13T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
NVDA::20251107::resistance::1::test::2025-11-13T00:00:00,NVDA,NVDA::20251107::resistance::1,NVDA::resistance::188.6650::1.8875::avwap_D::D,2025-11-13,test,up,186.86000061035156,189.60692876623634,-0.014487488267221618,134,4,134,3,1,False,1.0,1.0,cost,resistance,D,0.009999999999999945,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-11-07T00:00:00"", ""zone_valid_to"": ""2025-11-13T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
NVDA::20251114::resistance::1::probe::2025-11-14T00:00:00,NVDA,NVDA::20251114::resistance::1,NVDA::resistance::188.9650::1.8900::avwap_D::D,2025-11-14,probe,up,190.1699981689453,189.90904602790832,0.0013740901052109256,135,0,135,0,0,True,,,cost,resistance,D,0.009999999999999915,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-11-14T00:00:00"", ""zone_valid_to"": ""2025-11-20T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
NVDA::20251114::resistance::1::test::2025-11-20T00:00:00,NVDA,NVDA::20251114::resistance::1,NVDA::resistance::188.9650::1.8900::avwap_D::D,2025-11-20,test,up,180.63999938964844,189.90904602790832,-0.04880782054425009,139,4,139,1,1,False,4.0,6.0,cost,resistance,D,0.009999999999999915,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-11-14T00:00:00"", ""zone_valid_to"": ""2025-11-20T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
NVDA::20251114::resistance::2::test::2025-11-20T00:00:00,NVDA,NVDA::20251114::resistance::2,"NVDA::resistance::193.0800::4.7350::avwap_D,vp_D::D",2025-11-20,test,up,180.63999938964844,195.44681534290314,-0.0757587987672082,139,4,139,0,0,True,,,composite,resistance,D,0.024529291166375297,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-11-14T00:00:00"", ""zone_valid_to"": ""2025-11-20T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
NVDA::20251121::support::2::test::2025-11-25T00:00:00,NVDA,NVDA::20251121::support::2,NVDA::support::172.5800::2.8925::avwap_D::D,2025-11-25,test,down,177.82000732421875,171.13480142702852,0.0390639767098499,142,2,142,0,0,True,,,cost,support,D,0.01676728931636898,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-11-21T00:00:00"", ""zone_valid_to"": ""2025-11-30T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
