event_id,ticker,zone_id,structural_zone_key,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,local_bar_index,global_bar_index,touch_count_before_event,meaningful_touch_count_before_event,is_first_meaningful_test,bars_since_last_touch,days_since_last_touch,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,defense_label,hold_flag,failed_hold_flag,defense_unresolved_flag,reversal_strength_pct,max_rejection_excursion,max_penetration_excursion,bars_to_reversal,close_back_from_edge_flag,zone_defense_score
NVDA::20250717::support::3::test::2025-07-23T00:00:00,NVDA,NVDA::20250717::support::3,"NVDA::support::170.8200::2.3400::avwap_D,vp_D::D",2025-07-23,test,down,170.77999877929688,169.64777808507284,0.006673949443984226,54,4,54,1,1,False,1.0,1.0,composite,support,D,0.013703985554469585,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-17T00:00:00"", ""zone_valid_to"": ""2025-07-23T23:59:59.999999""}",failed_hold,0,1,0,0.08022014899969068,0.08022014899969068,0.004997265763716042,1.0,1,8.122233638871785
NVDA::20250724::resistance::1::probe::2025-07-24T00:00:00,NVDA,NVDA::20250724::resistance::1,"NVDA::resistance::171.3800::4.3150::vp_D,vp_W::D,W",2025-07-24,probe,up,173.74000549316406,173.5369050971667,0.0011703585233563622,55,0,55,0,0,True,,,composite,resistance,"D,W",0.025170968769375447,2,"{""source_reason"": ""vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-24T00:00:00"", ""zone_valid_to"": ""2025-07-30T23:59:59.999999""}",failed_hold,0,1,0,0.028433304277756675,0.028433304277756675,0.06305915519379064,6.0,1,-1.7014019877275834
NVDA::20250724::resistance::1::test::2025-07-25T00:00:00,NVDA,NVDA::20250724::resistance::1,"NVDA::resistance::171.3800::4.3150::vp_D,vp_W::D,W",2025-07-25,test,up,173.5,173.5369050971667,-0.00021266425804957986,56,1,56,1,1,False,1.0,1.0,composite,resistance,"D,W",0.025170968769375447,2,"{""source_reason"": ""vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-24T00:00:00"", ""zone_valid_to"": ""2025-07-30T23:59:59.999999""}",failed_hold,0,1,0,0.027089319586410303,0.027089319586410303,0.06305915519379064,5.0,0,-2.335800456862221
NVDA::20250724::resistance::1::breakout_up::2025-07-29T00:00:00,NVDA,NVDA::20250724::resistance::1,"NVDA::resistance::171.3800::4.3150::vp_D,vp_W::D,W",2025-07-29,breakout_up,up,175.50999450683594,173.5369050971667,0.011369854778523663,58,3,58,3,1,False,1.0,1.0,composite,resistance,"D,W",0.025170968769375447,2,"{""source_reason"": ""vp_D,vp_W"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-07-24T00:00:00"", ""zone_valid_to"": ""2025-07-30T23:59:59.999999""}",not_applicable,0,0,0,,,,,0,
NVDA::20250724::resistance::1::probe::2025-07-30T00:00:00,NVDA,NVDA::20250724::resistance::1,"NVDA::resistance::171.3800::4.3150::vp_D,vp_W::D,W",2025-07-30,probe,up,179.27000427246094,173.5369050971667,0.033036772046177464,59,4,59,4,1,False,1.0,1.0,composite,resistance,"D,W",0.025170968769375447,2,"{""source_reason"": ""vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-24T00:00:00"", ""zone_valid_to"": ""2025-07-30T23:59:59.999999""}",failed_hold,0,1,0,0.0584035308259961,0.0584035308259961,0.06305915519379064,1.0,0,0.795620667096359
NVDA::20250814::support::4::test::2025-08-20T00:00:00,NVDA,NVDA::20250814::support::4,"NVDA::support::175.6350::12.3700::avwap_D,vp_D,vp_W::D,W",2025-08-20,test,down,175.39999389648438,169.45181551297506,0.03510247656835438,74,4,74,0,0,True,,,composite,support,"D,W",0.07042317264687771,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-08-14T00:00:00"", ""zone_valid_to"": ""2025-08-20T23:59:59.999999""}",failed_hold,0,1,0,0.051710419839419076,0.051710419839419076,0.03176010934119629,2.0,1,3.1302332366462045
NVDA::20250828::support::3::probe::2025-08-29T00:00:00,NVDA,NVDA::20250828::support::3,"NVDA::support::179.7150::8.0725::avwap_D,vp_D,vp_W::D,W",2025-08-29,probe,down,174.17999267578125,175.67851467609407,-0.008529910462162697,81,1,81,0,0,True,,,composite,support,"D,W",0.04491941485144454,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-08-28T00:00:00"", ""zone_valid_to"": ""2025-09-04T23:59:59.999999""}",failed_hold,0,1,0,0.059536174141879235,0.059536174141879235,0.06607812784208937,7.0,1,1.1673671868207736
NVDA::20250828::support::2::test::2025-09-02T00:00:00,NVDA,NVDA::20250828::support::2,NVDA::support::172.0400::3.9825::vp_W::W,2025-09-02,test,down,170.77999877929688,170.04979188601175,0.004294076959380243,82,2,82,0,0,True,,,inventory,support,W,0.02314610388982889,1,"{""source_reason"": ""vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-08-28T00:00:00"", ""zone_valid_to"": ""2025-09-04T23:59:59.999999""}",failed_hold,0,1,0,0.09702545639218894,0.09702545639218894,0.03516490373479188,6.0,1,7.389353340435544
NVDA::20250828::support::3::breakout_down::2025-09-02T00:00:00,NVDA,NVDA::20250828::support::3,"NVDA::support::179.7150::8.0725::avwap_D,vp_D,vp_W::D,W",2025-09-02,breakout_down,down,170.77999877929688,175.67851467609407,-0.02788340911140326,82,2,82,1,1,False,1.0,4.0,composite,support,"D,W",0.04491941485144454,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""breakout_down"", ""zone_valid_from"": ""2025-08-28T00:00:00"", ""zone_valid_to"": ""2025-09-04T23:59:59.999999""}",not_applicable,0,0,0,,,,,0,
NVDA::20250905::support::4::probe::2025-09-05T00:00:00,NVDA,NVDA::20250905::support::4,"NVDA::support::171.3800::3.5850::avwap_D,vp_D,vp_W::D,W",2025-09-05,probe,down,167.02000427246094,169.5856093978882,-0.015128672382853748,85,0,85,0,0,True,,,composite,support,"D,W",0.020921251889949474,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-05T00:00:00"", ""zone_valid_to"": ""2025-09-11T23:59:59.999999""}",failed_hold,0,1,0,0.14387497404260968,0.14387497404260968,0.01677974867577157,1.0,1,13.545117510199242
