raw_interaction_id,ticker,zone_id,structural_zone_key,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,local_bar_index,global_bar_index,touch_count_before_event,meaningful_touch_count_before_event,is_first_meaningful_test,bars_since_last_touch,days_since_last_touch,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,event_id
ORCL::20250710::support::4::test::2025-07-11T00:00:00,ORCL,ORCL::20250710::support::4,"ORCL::support::234.5500::8.1525::vp_D,vp_W::D,W",2025-07-11,test,down,230.55999755859375,230.47584164619445,0.0003651398419817251,46,1,46,0,0,True,,,composite,support,"D,W",0.034760313490124,2,"{""source_reason"": ""vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}",
ORCL::20250710::support::3::test::2025-07-14T00:00:00,ORCL,ORCL::20250710::support::3,ORCL::support::228.5150::2.2850::avwap_D::D,2025-07-14,test,down,229.27999877929688,227.37319317562856,0.008386237520073243,47,2,47,0,0,True,,,cost,support,D,0.010000000000000044,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}",
ORCL::20250710::support::4::probe::2025-07-14T00:00:00,ORCL,ORCL::20250710::support::4,"ORCL::support::234.5500::8.1525::vp_D,vp_W::D,W",2025-07-14,probe,down,229.27999877929688,230.47584164619445,-0.005188582275505159,47,2,47,1,1,False,1.0,3.0,composite,support,"D,W",0.034760313490124,2,"{""source_reason"": ""vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}",
ORCL::20250710::support::4::test::2025-07-15T00:00:00,ORCL,ORCL::20250710::support::4,"ORCL::support::234.5500::8.1525::vp_D,vp_W::D,W",2025-07-15,test,down,234.9600067138672,230.47584164619445,0.019456117550734085,48,3,48,2,1,False,1.0,1.0,composite,support,"D,W",0.034760313490124,2,"{""source_reason"": ""vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}",
ORCL::20250710::resistance::1::probe::2025-07-16T00:00:00,ORCL,ORCL::20250710::resistance::1,ORCL::resistance::235.8200::2.3575::avwap_D::D,2025-07-16,probe,up,241.3000030517578,236.9983951020513,0.018150367422759356,49,4,49,1,1,False,4.0,6.0,cost,resistance,D,0.009999999999999929,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}",
ORCL::20250724::resistance::1::test::2025-07-25T00:00:00,ORCL,ORCL::20250724::resistance::1,ORCL::resistance::244.1900::2.4425::avwap_D::D,2025-07-25,test,up,245.1199951171875,245.4117508521293,-0.001188841748321973,56,1,56,0,0,True,,,cost,resistance,D,0.010000000000000085,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-24T00:00:00"", ""zone_valid_to"": ""2025-07-30T23:59:59.999999""}",
ORCL::20250724::resistance::1::probe::2025-07-28T00:00:00,ORCL,ORCL::20250724::resistance::1,ORCL::resistance::244.1900::2.4425::avwap_D::D,2025-07-28,probe,up,247.7100067138672,245.4117508521293,0.009364897376583567,57,2,57,1,1,False,1.0,3.0,cost,resistance,D,0.010000000000000085,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-24T00:00:00"", ""zone_valid_to"": ""2025-07-30T23:59:59.999999""}",
ORCL::20250724::resistance::1::breakout_up::2025-07-29T00:00:00,ORCL,ORCL::20250724::resistance::1,ORCL::resistance::244.1900::2.4425::avwap_D::D,2025-07-29,breakout_up,up,249.97999572753906,245.4117508521293,0.01861461343862999,58,3,58,2,1,False,1.0,1.0,cost,resistance,D,0.010000000000000085,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-07-24T00:00:00"", ""zone_valid_to"": ""2025-07-30T23:59:59.999999""}",
ORCL::20250724::resistance::1::probe::2025-07-30T00:00:00,ORCL,ORCL::20250724::resistance::1,ORCL::resistance::244.1900::2.4425::avwap_D::D,2025-07-30,probe,up,250.60000610351562,245.4117508521293,0.021141022112313036,59,4,59,3,1,False,1.0,1.0,cost,resistance,D,0.010000000000000085,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-24T00:00:00"", ""zone_valid_to"": ""2025-07-30T23:59:59.999999""}",
ORCL::20250724::resistance::1::retest_up::2025-07-30T00:00:00,ORCL,ORCL::20250724::resistance::1,ORCL::resistance::244.1900::2.4425::avwap_D::D,2025-07-30,retest_up,up,250.60000610351562,245.4117508521293,0.021141022112313036,59,4,59,3,2,False,,,cost,resistance,D,0.010000000000000085,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""retest_up"", ""zone_valid_from"": ""2025-07-24T00:00:00"", ""zone_valid_to"": ""2025-07-30T23:59:59.999999""}",ORCL::20250724::resistance::1::retest_up::2025-07-30T00:00:00
ORCL::20250814::support::3::test::2025-08-20T00:00:00,ORCL,ORCL::20250814::support::3,ORCL::support::230.0150::2.3000::avwap_D::D,2025-08-20,test,down,235.05999755859375,228.86396647949638,0.02707298651862027,74,4,74,0,0,True,,,cost,support,D,0.01000000000000004,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-08-14T00:00:00"", ""zone_valid_to"": ""2025-08-20T23:59:59.999999""}",
ORCL::20250814::support::4::test::2025-08-20T00:00:00,ORCL,ORCL::20250814::support::4,"ORCL::support::241.7550::23.6575::avwap_D,vp_W::D,W",2025-08-20,test,down,235.05999755859375,229.9258074871699,0.02232976857854616,74,4,74,0,0,True,,,composite,support,"D,W",0.09785604428570696,2,"{""source_reason"": ""avwap_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-08-14T00:00:00"", ""zone_valid_to"": ""2025-08-20T23:59:59.999999""}",
ORCL::20250821::resistance::1::test::2025-08-22T00:00:00,ORCL,ORCL::20250821::resistance::1,ORCL::resistance::236.4400::2.3650::avwap_D::D,2025-08-22,test,up,236.3699951171875,237.62228824325703,-0.00527009959935889,76,1,76,0,0,True,,,cost,resistance,D,0.010000000000000068,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-08-21T00:00:00"", ""zone_valid_to"": ""2025-08-27T23:59:59.999999""}",
