zone_id,structural_zone_key,ticker,valid_from,valid_to,zone_class,side,lower,upper,center,timeframe,source_reason,confluence_count,metadata
NVDA::20251107::resistance::2,NVDA::resistance::191.9000::1.9200::avwap_D::D,NVDA,2025-11-07,2025-11-13 23:59:59.999999,cost,resistance,190.9390483869169,192.85803379784068,191.8985410923788,D,avwap_D,1,"{'institutional_score': 85.16585979598784, 'structural_score': 78.80585979598784, 'touch_count': 3, 'reaction_score': 3.1799999999999997, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
NVDA::20251107::resistance::3,"NVDA::resistance::202.2300::2.7600::avwap_D,vp_D::D",NVDA,2025-11-07,2025-11-13 23:59:59.999999,composite,resistance,200.84795372804007,203.60814864317575,202.2280511856079,D,"avwap_D,vp_D",2,"{'institutional_score': 30.633438119128993, 'structural_score': 22.833438119128992, 'touch_count': 1, 'reaction_score': 3.9000000000000004, 'source_label': 'avwap_D, vp_D', 'source_types': ['avwap_D', 'vp_D'], 'timeframes': ['D']}"
NVDA::20251107::support::4,NVDA::support::166.5950::1.6650::avwap_D::D,NVDA,2025-11-07,2025-11-13 23:59:59.999999,cost,support,165.76333092749977,167.42929405239929,166.59631248994953,D,avwap_D,1,"{'institutional_score': 22.66313549301831, 'structural_score': 15.343135493018309, 'touch_count': 4, 'reaction_score': 3.66, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
NVDA::20251107::support::5,NVDA::support::171.6000::1.7150::avwap_D::D,NVDA,2025-11-07,2025-11-13 23:59:59.999999,cost,support,170.7426919127432,172.4586988666401,171.60069538969165,D,avwap_D,1,"{'institutional_score': 25.842473989029344, 'structural_score': 19.48247398902934, 'touch_count': 8, 'reaction_score': 3.1800000000000006, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
NVDA::20251107::support::6,"NVDA::support::182.0850::17.7875::avwap_D,vp_D,vp_W::D,W",NVDA,2025-11-07,2025-11-13 23:59:59.999999,composite,support,173.18944377899172,190.97689884503683,182.08317131201426,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 74.59364866406374, 'structural_score': 71.35364866406374, 'touch_count': 21, 'reaction_score': 1.6200000000000006, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
NVDA::20251114::resistance::1,NVDA::resistance::188.9650::1.8900::avwap_D::D,NVDA,2025-11-14,2025-11-20 23:59:59.999999,cost,resistance,188.01940377887442,189.90904602790832,188.96422490339137,D,avwap_D,1,"{'institutional_score': 147.24428284192632, 'structural_score': 140.8842828419263, 'touch_count': 5, 'reaction_score': 3.1800000000000006, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
NVDA::20251114::resistance::2,"NVDA::resistance::193.0800::4.7350::avwap_D,vp_D::D",NVDA,2025-11-14,2025-11-20 23:59:59.999999,composite,resistance,190.71072991108917,195.44681534290314,193.07877262699617,D,"avwap_D,vp_D",2,"{'institutional_score': 55.821542584754326, 'structural_score': 49.401542584754324, 'touch_count': 4, 'reaction_score': 3.21, 'source_label': 'avwap_D, vp_D', 'source_types': ['avwap_D', 'vp_D'], 'timeframes': ['D']}"
NVDA::20251114::resistance::3,NVDA::resistance::197.3750::1.9750::avwap_D::D,NVDA,2025-11-14,2025-11-20 23:59:59.999999,cost,resistance,196.38913753115136,198.36289770734382,197.3760176192476,D,avwap_D,1,"{'institutional_score': 34.62062430043946, 'structural_score': 29.42062430043946, 'touch_count': 2, 'reaction_score': 2.6, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
NVDA::20251114::support::4,NVDA::support::171.9000::2.9275::avwap_D::D,NVDA,2025-11-14,2025-11-20 23:59:59.999999,cost,support,170.43514896556508,173.3627103094529,171.89892963750899,D,avwap_D,1,"{'institutional_score': 28.35650228739585, 'structural_score': 22.47650228739585, 'touch_count': 10, 'reaction_score': 2.9400000000000004, 'source_label': 'avwap_D', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
NVDA::20251114::support::5,"NVDA::support::182.1150::13.8500::avwap_D,vp_D,vp_W::D,W",NVDA,2025-11-14,2025-11-20 23:59:59.999999,composite,support,175.1894310760498,189.04057991027832,182.11500549316406,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 86.72093735412065, 'structural_score': 83.65236592554922, 'touch_count': 21, 'reaction_score': 1.5342857142857143, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
