event_id,ticker,zone_id,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,is_first_test,prior_test_count,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,label,success_flag,failure_flag,unresolved_flag,max_favorable_excursion,max_adverse_excursion,follow_through_pct,reentry_flag,bars_to_reentry,bars_to_target,outcome_window_end
AAPL::20251118::resistance::1::test::2025-11-20T00:00:00,AAPL,AAPL::20251118::resistance::1,2025-11-20,test,up,266.25,274.57874277750653,-0.030332802507786936,2,True,0,composite,resistance,"D,W",0.030178898486725617,3,"{""source_reason"": ""avwap_D,avwap_W,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-11-18T00:00:00"", ""zone_valid_to"": ""2025-11-24T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20251118::resistance::1::probe::2025-11-24T00:00:00,AAPL,AAPL::20251118::resistance::1,2025-11-24,probe,up,275.9200134277344,274.57874277750653,0.004884830619661931,4,False,1,composite,resistance,"D,W",0.030178898486725617,3,"{""source_reason"": ""avwap_D,avwap_W,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-11-18T00:00:00"", ""zone_valid_to"": ""2025-11-24T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250514::support::3::test::2025-05-14T00:00:00,AMZN,AMZN::20250514::support::3,2025-05-14,test,down,210.25,209.0951941720611,0.005522871209505799,0,True,0,cost,support,D,0.009999999999999938,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-05-14T00:00:00"", ""zone_valid_to"": ""2025-05-20T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250514::support::3::probe::2025-05-15T00:00:00,AMZN,AMZN::20250514::support::3,2025-05-15,probe,down,205.1699981689453,209.0951941720611,-0.018772291819800533,1,False,1,cost,support,D,0.009999999999999938,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-05-14T00:00:00"", ""zone_valid_to"": ""2025-05-20T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250514::support::3::breakout_down::2025-05-16T00:00:00,AMZN,AMZN::20250514::support::3,2025-05-16,breakout_down,down,205.58999633789062,209.0951941720611,-0.016763646089761886,2,False,2,cost,support,D,0.009999999999999938,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_down"", ""zone_valid_from"": ""2025-05-14T00:00:00"", ""zone_valid_to"": ""2025-05-20T23:59:59.999999""}",failure,0,1,0,-0.05160757234955074,0.179629401198467,-0.14874265468051245,1,1.0,,2025-02-05
AMZN::20250529::resistance::1::test::2025-05-29T00:00:00,AMZN,AMZN::20250529::resistance::1,2025-05-29,test,up,205.6999969482422,206.99733797685138,-0.006267428563522292,0,True,0,cost,resistance,D,0.01000000000000007,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-05-29T00:00:00"", ""zone_valid_to"": ""2025-06-04T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250529::resistance::1::probe::2025-06-04T00:00:00,AMZN,AMZN::20250529::resistance::1,2025-06-04,probe,up,207.22999572753906,206.99733797685138,0.00112396494062014,4,False,1,cost,resistance,D,0.01000000000000007,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-05-29T00:00:00"", ""zone_valid_to"": ""2025-06-04T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250620::resistance::1::test::2025-06-26T00:00:00,AMZN,AMZN::20250620::resistance::1,2025-06-26,test,up,217.1199951171875,217.82475802103679,-0.0032354582199568983,4,True,0,inventory,resistance,D,0.035798965393605726,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-06-20T00:00:00"", ""zone_valid_to"": ""2025-06-26T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250804::resistance::1::probe::2025-08-06T00:00:00,AMZN,AMZN::20250804::resistance::1,2025-08-06,probe,up,222.30999755859375,217.61818060924114,0.021559857435704415,2,True,0,composite,resistance,"D,W",0.012000609462994206,2,"{""source_reason"": ""avwap_D,avwap_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-08-04T00:00:00"", ""zone_valid_to"": ""2025-08-10T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250804::resistance::1::breakout_up::2025-08-07T00:00:00,AMZN,AMZN::20250804::resistance::1,2025-08-07,breakout_up,up,223.1300048828125,217.61818060924114,0.025327958620647087,3,False,1,composite,resistance,"D,W",0.012000609462994206,2,"{""source_reason"": ""avwap_D,avwap_W"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-08-04T00:00:00"", ""zone_valid_to"": ""2025-08-10T23:59:59.999999""}",success,1,0,0,0.08690000880801321,0.031058162429611118,0.07036255368921719,0,,8.0,2025-02-06
